frame,front_knee_angle,rear_knee_angle,hip_angle,torso_lean,left_elbow_angle,right_elbow_angle,body_linearity,entry_angle,streamline_angle,elbow_extension,elbow_lock_angle
0,140.3837432861328,122.90939331054688,30.513648986816406,40.111273575688784,170.6006622314453,174.28610229492188,42.110248469542945,151.85735320451775,100.6551745710318,174.28610229492188,172.4433822631836
1,137.0544891357422,122.61091613769531,29.860488891601562,40.00949907204062,173.8451385498047,170.44818115234375,44.025280894246556,146.17672227167566,99.00392685654312,173.8451385498047,172.14665985107422
2,134.085693359375,122.16134643554688,29.026683807373047,39.71498634721652,172.78143310546875,168.55862426757812,44.030105477584826,145.48102352516602,98.95743239688771,172.78143310546875,170.67002868652344
3,133.58517456054688,121.82695007324219,28.724205017089844,39.693640192899984,172.26441955566406,167.8876190185547,44.060164097440925,145.3008809026015,99.08010807273074,172.26441955566406,170.07601928710938
4,133.82562255859375,121.15794372558594,28.665372848510742,39.52709114509277,177.36183166503906,167.85494995117188,44.04943093207269,145.46605652975637,99.31950537403867,177.36183166503906,172.60839080810547
5,133.70401000976562,121.23709106445312,28.484073638916016,39.42368964726175,179.5198974609375,167.52215576171875,44.5341769878093,145.570612969359,99.46014251599344,179.5198974609375,173.52102661132812
6,133.35763549804688,121.24107360839844,28.337169647216797,39.357503061910215,178.93930053710938,167.01025390625,44.95752432188498,145.68501881959327,99.4635155610281,178.93930053710938,172.9747772216797
7,133.6561737060547,121.25779724121094,28.369592666625977,39.316255487040834,178.21986389160156,166.65753173828125,45.11018085375103,145.9360104123586,99.49141174895107,178.21986389160156,172.4386978149414
8,133.34971618652344,121.16578674316406,29.3756103515625,40.397837869001904,174.9053192138672,166.62469482421875,46.415969570669965,145.8209035947107,99.66148088046266,174.9053192138672,170.76500701904297
9,133.36546325683594,121.17730712890625,29.01751708984375,39.99717389723113,177.1328582763672,166.694580078125,46.13595139284053,145.82424113260063,99.66579387372545,177.1328582763672,171.9137191772461
