frame,front_knee_angle,rear_knee_angle,hip_angle,torso_lean,left_elbow_angle,right_elbow_angle,body_linearity,entry_angle,streamline_angle,elbow_extension,elbow_lock_angle
0,116.9766845703125,110.02766418457031,26.48564910888672,45.12939164902212,153.92776489257812,162.42971801757812,38.84719588927212,24.699460042814138,71.273584225435,162.42971801757812,162.42971801757812
1,114.27674865722656,108.46278381347656,29.601530075073242,46.020195103093094,170.57577514648438,164.3634033203125,39.99999098118864,21.361222807493135,72.18141103694737,170.57577514648438,170.57577514648438
2,119.26338195800781,110.65969848632812,30.760751724243164,46.62024808974124,171.23939514160156,161.90896606445312,38.80885183666026,21.053505138721903,73.99676861857571,171.23939514160156,171.23939514160156
3,118.06706237792969,110.76092529296875,31.96266746520996,47.09786037048861,173.1485137939453,162.66668701171875,39.56016602911275,21.186801215240337,73.96675071336489,173.1485137939453,173.1485137939453
4,120.46697998046875,108.75778198242188,34.14902114868164,47.65423664199554,169.5066680908203,163.5563201904297,40.45541692048016,21.035711386354507,74.0959589336791,169.5066680908203,169.5066680908203
5,114.34660339355469,105.73493957519531,34.49873352050781,48.359508764375875,172.52793884277344,163.42555236816406,42.241899412150616,21.07884429461751,73.71370536613402,172.52793884277344,172.52793884277344
6,110.92066955566406,104.60298156738281,34.47837829589844,48.8163575387585,171.981689453125,162.95587158203125,43.027882863492394,19.736617931005497,73.5535145462041,171.981689453125,171.981689453125
7,110.16426086425781,103.90386962890625,34.67320251464844,49.33012346638698,172.3878173828125,162.93528747558594,43.24854412766886,19.62730002146884,73.46521186735228,172.3878173828125,172.3878173828125
8,113.44841003417969,103.70663452148438,34.265663146972656,49.52625543916963,170.47842407226562,158.22096252441406,43.29974380919977,20.491013350569915,73.4120373382189,170.47842407226562,170.47842407226562
9,109.04777526855469,103.3712158203125,34.5555305480957,49.73126516246896,171.1208953857422,157.74868774414062,43.37991115067662,19.357238061746045,73.43800025623729,171.1208953857422,171.1208953857422
10,108.05319213867188,103.26296997070312,34.21786117553711,49.80608972317482,171.69561767578125,157.21023559570312,43.37491980431441,20.111555159083025,72.82865773015807,171.69561767578125,171.69561767578125
11,107.5067138671875,103.35504150390625,33.92268753051758,49.98731363942308,170.72630310058594,156.99197387695312,43.56086941849842,20.47104381890574,72.89802962900502,170.72630310058594,170.72630310058594
12,108.34797668457031,104.32133483886719,34.1023063659668,50.18749788213613,169.33935546875,157.08990478515625,43.53744533248409,20.254663480585776,73.31119174672506,169.33935546875,169.33935546875
13,116.9376220703125,105.22142028808594,35.74609375,50.46310381929406,169.6497039794922,159.15969848632812,42.7802739205457,19.428944815411484,74.07985085882343,169.6497039794922,169.6497039794922
14,120.705810546875,108.43365478515625,36.682464599609375,50.80594521122413,171.92059326171875,161.3940887451172,41.62679441039301,18.45782576969347,74.10013133960666,171.92059326171875,171.92059326171875
15,124.20033264160156,110.05235290527344,37.19680404663086,51.02193845483331,172.88320922851562,163.19427490234375,40.992827481296445,18.04668482462165,74.12966417393206,172.88320922851562,172.88320922851562
16,121.83366394042969,109.08157348632812,37.349063873291016,51.19977427908687,175.18789672851562,163.79739379882812,41.30213548428112,17.219396367494454,74.30479123382345,175.18789672851562,175.18789672851562
17,122.3013916015625,108.84480285644531,37.41225051879883,51.35617383415972,174.90725708007812,163.1842498779297,41.52254417340384,17.420100882911555,74.71907633891908,174.90725708007812,174.90725708007812
18,118.87272644042969,106.6787109375,37.38181686401367,51.56094225042612,173.28346252441406,161.96771240234375,42.27447388728026,17.12858141474885,75.16923571196718,173.28346252441406,173.28346252441406
19,115.64863586425781,105.69223022460938,36.7197380065918,51.74894722775316,171.51519775390625,161.59085083007812,42.736530410588735,17.151328875231684,75.59771682772573,171.51519775390625,171.51519775390625
20,113.67822265625,104.97257995605469,36.26309585571289,51.801143887204695,171.36036682128906,161.8032989501953,43.02895018192619,17.47032592737355,75.46478408958352,171.36036682128906,171.36036682128906
21,111.10676574707031,103.7926025390625,36.07414245605469,51.83373314402209,171.16848754882812,162.17239379882812,43.45175947711793,17.519855601673783,75.35929240850025,171.16848754882812,171.16848754882812
22,113.21408081054688,103.83895874023438,36.31127166748047,51.89440220029746,172.318115234375,162.57504272460938,43.44505431271791,17.510051329626776,75.30418678727798,172.318115234375,172.318115234375
23,112.02294921875,103.83084106445312,36.229061126708984,51.99617120835527,172.78720092773438,162.63623046875,43.48168369829269,17.493574078118968,75.2864307112945,172.78720092773438,172.78720092773438
24,111.70277404785156,103.80734252929688,36.56275177001953,52.04079828070737,172.9241485595703,162.7332763671875,43.50902275775348,17.448653729523528,75.28824028006309,172.9241485595703,172.9241485595703
25,111.00065612792969,103.71389770507812,36.75994110107422,52.04418969538599,173.1671905517578,162.85926818847656,43.54825368349784,17.375087988840306,75.29968876499893,173.1671905517578,173.1671905517578
26,112.08941650390625,103.68496704101562,37.1408576965332,52.03300566309022,173.31219482421875,162.9298553466797,43.56716678098098,17.528395964941552,75.31813395136376,173.31219482421875,173.31219482421875
27,112.81959533691406,103.6617431640625,37.38578414916992,52.039871353404855,174.0681610107422,162.97000122070312,43.59185090891008,17.94739359177578,75.32814408105665,174.0681610107422,174.0681610107422
28,113.16233825683594,103.65240478515625,37.35911178588867,52.05793999598396,174.3541717529297,163.7104949951172,43.58448514027237,18.03145469246934,75.35592327950766,174.3541717529297,174.3541717529297
29,113.32734680175781,103.66531372070312,37.33769989013672,52.059828025316186,174.80886840820312,164.51573181152344,43.55809556752427,18.04354276656275,75.40059842108649,174.80886840820312,174.80886840820312
