phase,metric,dressel_crop_a_measured,dressel_crop_a_deviation,dressel_crop_a_flag,dressel_crop_b_measured,dressel_crop_b_deviation,dressel_crop_b_flag,measured_delta
block_phase,front_knee_angle,110.19311479017308,0.19311479017308386,MINOR,110.19311479017308,0.19311479017308386,MINOR,0.0
block_phase,hip_angle,36.87815223809884,18.121847761901158,SIGNIFICANT,36.87815223809884,18.121847761901158,SIGNIFICANT,0.0
block_phase,rear_knee_angle,101.96838470284929,8.031615297150708,MINOR,101.96838470284929,8.031615297150708,MINOR,0.0
block_phase,torso_lean,51.67864880109169,21.67864880109169,CRITICAL,51.67864880109169,21.67864880109169,CRITICAL,0.0
entry_phase,elbow_lock_angle,171.92153358459473,0.0,OPTIMAL,171.92153358459473,0.0,OPTIMAL,0.0
entry_phase,streamline_angle,14.568043660861225,4.568043660861225,MINOR,14.568043660861225,4.568043660861225,MINOR,0.0
flight_phase,body_linearity,12.300998961393987,4.3009989613939865,MINOR,12.300998961393987,4.3009989613939865,MINOR,0.0
flight_phase,elbow_extension,164.1377166748047,0.8622833251953068,MINOR,164.1377166748047,0.8622833251953068,MINOR,0.0
flight_phase,entry_angle,38.7457620371202,0.0,OPTIMAL,38.7457620371202,0.0,OPTIMAL,0.0
